district	village	villno	strno	group	hhid	codigo	d07	birthdate	d11	d12	d13a	d14	d15	d16
1	16	116.0	1.0	1.0	11604	221	2		0		102		101	
1	16	116.0	1.0	1.0	11609	221	2	2112008	1	2	102		101	
1	16	116.0	1.0	1.0	11610	221	1	14012008	1	2	102		101	
1	16	116.0	1.0	1.0	11618	221	2	88882008	0		102		101	
1	17	117.0	1.0	2.0	11703	221	2	19122008	0		102		101	
1	17	117.0	1.0	2.0	11704	221	1	14042009	1	1	102		101	
1	17	117.0	1.0	2.0	11707	221	1	22112008	1	4	102		101	
1	17	117.0	1.0	2.0	11708	221	2	19092006	1	4	199	102	199	101
1	17	117.0	1.0	2.0	11716	221	1	19052009	1	1	102		101	
1	17	117.0	1.0	2.0	11717	221	2	15112008	1	1	102		101	
1	18	118.0	1.0	1.0	11803	221	2	14102008	1	3	102		101	
1	18	118.0	1.0	1.0	11805	221	1	22006	0		122		121	
1	18	118.0	1.0	1.0	11805	222	1	62007	0		122		121	
1	18	118.0	1.0	1.0	11808	211	2		0		101		199	
1	18	118.0	1.0	1.0	11811	221	2	13012009	1	1	102		101	
1	18	118.0	1.0	1.0	11812	221	1	17062009	1	1	101		122	
1	18	118.0	1.0	1.0	11812	222	2	17062009	1	1	101		122	
1	18	118.0	1.0	1.0	11813	221	2	20092008	1	3	102		199	
1	18	118.0	1.0	1.0	11814	221	1	25122007	0		102		199	101
1	18	118.0	1.0	1.0	11817	221	2		0		102		101	
2	1	201.0	2.0	3.0	20104	211	1		1	7	102		101	
2	1	201.0	2.0	3.0	20108	221	1	14122008	1	4	102		101	
2	1	201.0	2.0	3.0	20109	221	1	3112008	1	4	102		101	
2	1	201.0	2.0	3.0	20110	221	1	23062009	1	1	102		101	
2	1	201.0	2.0	3.0	20113	221	2	88012009	1	0	102		101	
2	1	201.0	2.0	3.0	20113	222	2	88012009	1	0	102		101	0
2	1	201.0	2.0	3.0	20114	221	2	6062009	1	2	102		101	
2	1	201.0	2.0	3.0	20115	221	2		0		102		101	
2	1	201.0	2.0	3.0	20116	221	1		0		102		101	
2	1	201.0	2.0	3.0	20118	221	2	9062007	1	2	102		101	
2	2	202.0	2.0	3.0	20205	211	1	15122007	1	6	299	121	299	122
2	2	202.0	2.0	3.0	20206	221	2	4052009	1	1	101		102	
2	2	202.0	2.0	3.0	20210	221	2	14062009	1	1	103		121	
2	2	202.0	2.0	3.0	20215	221	2	24032009	1	0	102		101	
2	2	202.0	2.0	3.0	20219	221	2		0		102		101	
2	3	203.0	2.0	2.0	20303	221	2	19112008	1	0	102		101	
2	3	203.0	2.0	2.0	20307	221	1	15122008	0		101		199	
2	3	203.0	2.0	2.0	20310	221	2		0		102		101	
2	3	203.0	2.0	2.0	20313	221	2		0		102		101	
2	3	203.0	2.0	2.0	20317	221	1	5102008	1	1	102		101	
2	3	203.0	2.0	2.0	20318	221	2	13032009	1	4	102		101	
2	3	203.0	2.0	2.0	20319	211	2		1	5	102		101	
2	4	204.0	2.0	2.0	20403	221	1	42009	0		102		101	
2	4	204.0	2.0	2.0	20404	221	2	5042009	1	2	102		101	
2	4	204.0	2.0	2.0	20410	211	2		1	1	102		101	
2	4	204.0	2.0	2.0	20415	221	1	12122008	0		102		101	
2	4	204.0	2.0	2.0	20416	221	2	8052009	1	2	102		101	
2	4	204.0	2.0	2.0	20417	221	1	7012009	1	4	102		199	
2	4	204.0	2.0	2.0	20418	221	2	27042009	1	2	102		101	
2	4	204.0	2.0	2.0	20419	221	1	13092008	1	8	102		101	
2	5	205.0	2.0	1.0	20502	221	2	22122008	1	6	102		101	
2	5	205.0	2.0	1.0	20519	221	1	9072009	1	1	104		121	
2	6	206.0	2.0	1.0	20601	221	2		0		102		101	
2	6	206.0	2.0	1.0	20615	221	2	6022009	1	1	102		299	
2	7	207.0	2.0	2.0	20703	221	1	7012006	1	8	121		199	101
2	7	207.0	2.0	2.0	20704	211	2		1	6	102		101	
2	8	208.0	2.0	1.0	20803	221	2	5052009	1	2	102		101	
2	8	208.0	2.0	1.0	20807	221	2	28062009	1	0	102		101	
2	8	208.0	2.0	1.0	20815	221	2	8112008	1	6	102		101	
2	9	209.0	2.0	3.0	20904	221	2	13062007	1	12	103		199	121
2	9	209.0	2.0	3.0	20908	221	2	5102006	0		101		199	103
2	9	209.0	2.0	3.0	20908	222	2		0		101		121	
2	9	209.0	2.0	3.0	20910	221	2		1	1	102		101	
2	9	209.0	2.0	3.0	20910	222	1		1	1	102		101	
3	1	301.0	3.0	2.0	30102	221	2	25062009	1	3	102		101	
3	2	302.0	3.0	2.0	30201	211	1		0		102		101	
3	2	302.0	3.0	2.0	30202	221	1	24082009	1	0	103		121	
3	2	302.0	3.0	2.0	30205	211	2		1	1	102		101	
3	2	302.0	3.0	2.0	30205	212	2		0		102		101	
3	2	302.0	3.0	2.0	30205	213	1		1	4	102		101	
3	2	302.0	3.0	2.0	30212	221	2	9052009	1	5	102		101	
3	2	302.0	3.0	2.0	30216	221	1		0		102		101	
3	3	303.0	3.0	1.0	30305	221	1	15032009	1	6	102		101	
3	3	303.0	3.0	1.0	30307	221	1	11082009	1	0	102		101	
3	3	303.0	3.0	1.0	30312	221	1	18122008	1	3	102		101	
3	4	304.0	3.0	3.0	30406	221	1	4112008	1	4	102		101	
3	4	304.0	3.0	3.0	30408	221	1	22062009	1	2	102		101	
3	4	304.0	3.0	3.0	30416	221	1	26092008	1	6	102		101	
3	4	304.0	3.0	3.0	30420	221	1	5062008	1	2	102		101	
3	5	305.0	3.0	3.0	30501	221	1	11062009	1	0	102		199	
3	5	305.0	3.0	3.0	30507	221	1	20112008	1	5	102		101	
3	5	305.0	3.0	3.0	30508	221	1	29092008	1	6	102		101	
4	1	401.0	3.0	3.0	40107	221	2	8012009	1	5	102		101	
4	1	401.0	3.0	3.0	40111	221	1	8122008	0		102		101	
4	1	401.0	3.0	3.0	40115	221	2	27122008	1	3	107		103	
4	1	401.0	3.0	3.0	40118	221	2	1012008	1	4	102		101	
4	2	402.0	3.0	1.0	40202	221	1		0		102		101	
4	2	402.0	3.0	1.0	40203	221	1		0		102		101	
4	2	402.0	3.0	1.0	40206	221	2	4062009	1	4	102		101	
4	2	402.0	3.0	1.0	40207	221	1		0		102		101	
4	2	402.0	3.0	1.0	40208	221	1	21112008	1	4	102		101	
4	2	402.0	3.0	1.0	40210	221	2		0		102		101	
4	2	402.0	3.0	1.0	40212	221	2	5012009	1	1	102		101	
4	2	402.0	3.0	1.0	40215	221	2		0		102		101	
4	2	402.0	3.0	1.0	40216	221	1	23012009	1	1	102		101	
4	3	403.0	3.0	1.0	40302	202	2		0		102		101	
4	3	403.0	3.0	1.0	40303	221	1		0		102		101	
4	3	403.0	3.0	1.0	40307	221	1		0		121		199	101
4	3	403.0	3.0	1.0	40308	221	2		0		102		101	
4	3	403.0	3.0	1.0	40309	221	1	2008	0		102		101	
4	3	403.0	3.0	1.0	40315	221	1	4112007	1	2	121		199	101
4	3	403.0	3.0	1.0	40316	221	2	10122008	0		102		101	
4	4	404.0	3.0	2.0	40402	221	2	4102008	1	4	102		101	
4	4	404.0	3.0	2.0	40403	221	1	11082007	1	11	121		104	
4	4	404.0	3.0	2.0	40405	221	1	15052007	1	2	102		101	
4	4	404.0	3.0	2.0	40409	221	1	26042009	1	4	121		199	101
4	4	404.0	3.0	2.0	40410	221	1	9042009	1	3	102		101	
4	4	404.0	3.0	2.0	40411	221	1	13012009	1	2	103		199	101
4	4	404.0	3.0	2.0	40413	211	1	24122005	0		102		199	
4	4	404.0	3.0	2.0	40413	221	2		1	1	102		199	
4	4	404.0	3.0	2.0	40415	221	2	4042009	1	4	102		101	
4	4	404.0	3.0	2.0	40416	221	1		0		101		199	
4	4	404.0	3.0	2.0	40419	221	2	4122008	1	3	102		101	
1	1	101.0	1.0	3.0	10150	201	1	4112007	0		102		101	
1	1	101.0	1.0	3.0	10150	202	1		0		102		101	
1	1	101.0	1.0	3.0	10150	203	2	88882004	0		102		101	
1	1	101.0	1.0	3.0	10150	204	2	88882003	0		102		101	
1	1	101.0	1.0	3.0	10151	201	1		0		101		102	
1	1	101.0	1.0	3.0	10151	202	2	11112008	0		101		102	
1	1	101.0	1.0	3.0	10152	201	1		0		102		101	
1	1	101.0	1.0	3.0	10152	202	2		0		102		101	
1	2	102.0	1.0	2.0	10250	201	1		1	11	102		101	
1	2	102.0	1.0	2.0	10251	201	2		1	2	102		101	
1	2	102.0	1.0	2.0	10251	202	1		1	3	102		101	
1	2	102.0	1.0	2.0	10260	201	2	13102008	1	2	102		101	
1	2	102.0	1.0	2.0	10261	201	2		1	4	102		101	
1	2	102.0	1.0	2.0	10261	202	1		1	4	102		101	
1	2	102.0	1.0	2.0	10261	203	1		1	6	102		101	
1	2	102.0	1.0	2.0	10262	201	2		1	4	102		101	
1	2	102.0	1.0	2.0	10263	201	2		1	3	102		101	
1	2	102.0	1.0	2.0	10264	201	1	22112006	0		102		101	
1	2	102.0	1.0	2.0	10264	202	1		1	4	102		101	
1	2	102.0	1.0	2.0	10265	201	2	30112004	1	2	102		101	
1	2	102.0	1.0	2.0	10265	202	1		1	1	102		101	
1	2	102.0	1.0	2.0	10265	203	2		1	1	102		101	
1	2	102.0	1.0	2.0	10266	201	1		0		102		101	
1	2	102.0	1.0	2.0	10266	202	1		0		102		101	
1	2	102.0	1.0	2.0	10267	201	2	16102005	0		102		101	
1	2	102.0	1.0	2.0	10267	202	1	15122008	0		102		101	
1	2	102.0	1.0	2.0	10268	201	1	88882005	0		102		101	
1	2	102.0	1.0	2.0	10268	202	2		1	2	102		102	
1	2	102.0	1.0	2.0	10269	201	2		1	3	102		101	
1	2	102.0	1.0	2.0	10269	202	2		1	2	102		101	
1	3	103.0	1.0	2.0	10350	201	1		0		102		101	
1	3	103.0	1.0	2.0	10351	201	2		1	3	102		101	
1	3	103.0	1.0	2.0	10352	201	2		1	2	102		101	
1	3	103.0	1.0	2.0	10352	202	2		0		102		101	
1	3	103.0	1.0	2.0	10360	201	1		0		102		101	
1	3	103.0	1.0	2.0	10360	202	2		1	2	102		101	
1	3	103.0	1.0	2.0	10361	201	1		0		102		101	
1	3	103.0	1.0	2.0	10361	202	2		0		102		101	
1	3	103.0	1.0	2.0	10362	201	1		0		101		199	
1	3	103.0	1.0	2.0	10363	201	1		1	3	102		101	
1	3	103.0	1.0	2.0	10363	202	2		1	3	102		101	
1	3	103.0	1.0	2.0	10364	201	2		1	5	102		101	
1	3	103.0	1.0	2.0	10364	202	2		0		102		101	
1	3	103.0	1.0	2.0	10365	201	2		0		199	102	199	101
1	3	103.0	1.0	2.0	10366	201	1	19102008	1	3	101		102	
1	3	103.0	1.0	2.0	10367	201	1		1	3	102		101	
1	3	103.0	1.0	2.0	10367	202	1	24122008	1	3	102		101	
1	3	103.0	1.0	2.0	10368	201	1	25102004	1	2	199	102	199	101
1	3	103.0	1.0	2.0	10368	202	1	13102007	1	5	199	102	199	101
1	3	103.0	1.0	2.0	10369	201	2	22102007	1	4	102		101	
1	4	104.0	1.0	3.0	10450	201	2		0		102		101	
1	4	104.0	1.0	3.0	10450	202	1		1	1	102		101	
1	4	104.0	1.0	3.0	10451	201	1		1	4	102		101	
1	4	104.0	1.0	3.0	10451	202	1		1	2	102		101	
1	4	104.0	1.0	3.0	10452	201	2		0		102		101	
1	5	105.0	1.0	3.0	10550	201	1		1	1	102		101	
1	8	108.0	1.0	2.0	10551	201	1		1	4	102		101	
1	8	108.0	1.0	2.0	10551	202	1		1	1	102		101	
1	5	105.0	1.0	3.0	10552	201	2	88882008	0		102		101	
1	5	105.0	1.0	3.0	10552	202	2		0		102		101	
1	5	105.0	1.0	3.0	10552	203	2	8122002	0		102		101	
1	6	106.0	1.0	3.0	10650	201	2		0		102		101	
1	6	106.0	1.0	3.0	10651	201	2		1	2	102		101	
1	6	106.0	1.0	3.0	10652	201	1		1	2	102		101	
1	7	107.0	1.0	3.0	10750	201	2		0		102		101	
1	7	107.0	1.0	3.0	10750	202	2		0		102		101	
1	7	107.0	1.0	3.0	10751	201	1		1	1	102		101	
1	7	107.0	1.0	3.0	10752	201	1		0	2	102		101	
1	8	108.0	1.0	2.0	10850	201	1		1	9	101		102	
1	8	108.0	1.0	2.0	10850	202	2		1	5	101		102	
1	8	108.0	1.0	2.0	10852	201	2		0		102		101	
1	8	108.0	1.0	2.0	10860	201	1	15112004	0		102		101	
1	8	108.0	1.0	2.0	10860	202	2		0		102		101	
1	8	108.0	1.0	2.0	10861	201	1		1	1	102		101	
1	8	108.0	1.0	2.0	10861	202	2		1	1	102		101	
1	8	108.0	1.0	2.0	10862	201	1		0		102		101	
1	8	108.0	1.0	2.0	10862	202	2		0		103		199	
1	8	108.0	1.0	2.0	10862	203	1		0		103		199	
1	8	108.0	1.0	2.0	10862	204	1		1	1	103		199	
1	8	108.0	1.0	2.0	10863	201	1	30112008	1	3	102		199	101
1	8	108.0	1.0	2.0	10864	201	1		1	10	102		101	
1	8	108.0	1.0	2.0	10864	202	2		1	0	102		101	
1	8	108.0	1.0	2.0	10865	201	1		1	12	102		101	
1	8	108.0	1.0	2.0	10866	201	1	28122007	1	8	102		101	
1	8	108.0	1.0	2.0	10867	201	2		0		102		199	
1	8	108.0	1.0	2.0	10868	201	2		1	2	102		101	
1	8	108.0	1.0	2.0	10869	201	1	15102007	1	2	101		199	
1	9	109.0	1.0	1.0	10950	201	2	26112008	1	4	102		101	
1	9	109.0	1.0	1.0	10951	201	2	7112008	1	1	102		101	
1	9	109.0	1.0	1.0	10951	202	1		0		102		101	
1	9	109.0	1.0	1.0	10952	201	1		1	1	102		101	
1	9	109.0	1.0	1.0	10952	202	2		0		102		101	
1	9	109.0	1.0	1.0	10953	201	2		0		102		101	
1	9	109.0	1.0	1.0	10960	201	2	2102006	1	4	102		101	
1	9	109.0	1.0	1.0	10960	202	1		1	1	102		101	
1	9	109.0	1.0	1.0	10961	201	1		0		101		199	
1	9	109.0	1.0	1.0	10961	202	1		0		101		199	
1	9	109.0	1.0	1.0	10964	201	1		0		102		101	
1	9	109.0	1.0	1.0	10964	202	2		0		102		101	
1	9	109.0	1.0	1.0	10965	201	1		1	3	102		101	
1	9	109.0	1.0	1.0	10965	202	2		0		102		101	
1	9	109.0	1.0	1.0	10966	201	2		0		102		101	
1	9	109.0	1.0	1.0	10966	202	2	5112008	0		102		101	
1	9	109.0	1.0	1.0	10967	201	1		0		102		101	
1	9	109.0	1.0	1.0	10967	202	1		0		102		101	
1	9	109.0	1.0	1.0	10968	201	1	1102005	1	11	102		101	
1	9	109.0	1.0	1.0	10968	202	2		1	2	102		101	
1	9	109.0	1.0	1.0	10969	201	1		1	5	101		101	
1	10	110.0	1.0	1.0	11050	201	2	15102006	1	4	102		101	
1	10	110.0	1.0	1.0	11050	202	2		1	2	102		101	
1	10	110.0	1.0	1.0	11051	201	1		1	1	102		101	
1	10	110.0	1.0	1.0	11052	201	2		1	6	102		101	
1	10	110.0	1.0	1.0	11053	201	1	28112004	1	6	102		101	
1	10	110.0	1.0	1.0	11054	201	2		0		102		101	
1	10	110.0	1.0	1.0	11054	202	1	8112008	1	2	102		101	
1	10	110.0	1.0	1.0	11060	201	1		0		103		199	101
1	10	110.0	1.0	1.0	11061	201	1	10102007	1	2	101		199	
1	10	110.0	1.0	1.0	11062	201	2	88882005	0		102		101	
1	10	110.0	1.0	1.0	11062	202	1	25122008	0		102		101	
1	10	110.0	1.0	1.0	11063	201	1	88102004	0		199	102	199	101
1	10	110.0	1.0	1.0	11064	201	1		0		101		199	
1	10	110.0	1.0	1.0	11064	202	2	14102008	1	1	101		199	
1	10	110.0	1.0	1.0	11066	201	1		1	3	102		199	101
1	10	110.0	1.0	1.0	11066	202	1		1	3	102		199	101
1	10	110.0	1.0	1.0	11068	201	2	88882005	0		102		101	
1	10	110.0	1.0	1.0	11069	201	1		1	7	101		199	
1	10	110.0	1.0	1.0	11069	202	2	8112007	1	4	101		199	
1	10	110.0	1.0	1.0	11069	203	2	8112007	1	4	101		199	
1	10	110.0	1.0	1.0	11070	201	1	88882004	0		199	102	104	
1	10	110.0	1.0	1.0	11071	201	1		1	2	102		101	
1	10	110.0	1.0	1.0	11071	202	1		1	1	102		101	
1	10	110.0	1.0	1.0	11072	201	2	88882004	0		102		101	
1	10	110.0	1.0	1.0	11072	202	2		0		102		101	
1	10	110.0	1.0	1.0	11072	203	1		0		102		101	
1	11	111.0	1.0	1.0	11151	201	2	12122007	1	6	101		102	
1	11	111.0	1.0	1.0	11152	201	1		0		102		101	
1	11	111.0	1.0	1.0	11152	202	1		1	3	102		101	
1	11	111.0	1.0	1.0	11152	203	1		1	2	102		101	
1	11	111.0	1.0	1.0	11153	201	2		1	8	102		101	
1	11	111.0	1.0	1.0	11153	202	2	1102007	0		102		101	
1	11	111.0	1.0	1.0	11154	201	2	2122006	0		102		101	
1	11	111.0	1.0	1.0	11154	202	1		0		102		101	
1	11	111.0	1.0	1.0	11161	201	1		1	0	102		101	
1	11	111.0	1.0	1.0	11161	202	1		0		102		101	
1	11	111.0	1.0	1.0	11163	201	2	1102004	1	4	102		101	
1	11	111.0	1.0	1.0	11163	202	2		1	6	102		101	
1	11	111.0	1.0	1.0	11164	201	2		1	6	102		101	
1	11	111.0	1.0	1.0	11164	202	1	21112007	1	2	102		101	
1	11	111.0	1.0	1.0	11165	201	1	15112005	0		102		101	
1	11	111.0	1.0	1.0	11166	201	1		0		101		199	
1	11	111.0	1.0	1.0	11166	202	1		0		101		199	
1	11	111.0	1.0	1.0	11167	201	1		0		102		101	
1	11	111.0	1.0	1.0	11167	202	2		0		102		101	
1	11	111.0	1.0	1.0	11168	201	1	88102006	0		102		101	
1	11	111.0	1.0	1.0	11169	201	2	31102008	1	4	102		101	
1	12	112.0	1.0	2.0	11250	201	1		0		101		199	
1	12	112.0	1.0	2.0	11251	201	1	29112008	0		102		101	
1	12	112.0	1.0	2.0	11252	201	2		1	5	102		101	
1	12	112.0	1.0	2.0	11260	201	2		1	3	102		101	
1	12	112.0	1.0	2.0	11261	201	2		0		102		199	101
1	12	112.0	1.0	2.0	11261	202	2		0		102		199	101
1	12	112.0	1.0	2.0	11261	203	1		0		102		199	101
1	12	112.0	1.0	2.0	11262	201	1		0		102		101	
1	12	112.0	1.0	2.0	11263	201	2		0		102		101	
1	12	112.0	1.0	2.0	11264	201	1		0		102		101	
1	12	112.0	1.0	2.0	11264	202	1		1	3	102		101	
1	12	112.0	1.0	2.0	11264	203	1		1	2	102		101	
1	12	112.0	1.0	2.0	11265	201	1		0		102		101	
1	12	112.0	1.0	2.0	11265	202	2		0		102		101	
1	12	112.0	1.0	2.0	11266	201	2	1122004	1	7	102		101	
1	12	112.0	1.0	2.0	11266	202	1		1	6	102		101	
1	12	112.0	1.0	2.0	11266	203	1	27122008	1	7	102		101	
1	12	112.0	1.0	2.0	11267	201	2		0		102		101	
1	12	112.0	1.0	2.0	11267	202	2		0		102		101	
1	12	112.0	1.0	2.0	11268	201	1		0		102		101	
1	12	112.0	1.0	2.0	11269	201	1		0		102		101	
1	12	112.0	1.0	2.0	11269	202	2		1	2	102		101	
1	13	113.0	1.0	3.0	11350	201	1	5122008	1	3	102		101	
1	13	113.0	1.0	3.0	11351	201	1		0		102		101	
1	13	113.0	1.0	3.0	11352	201	2		1	2	102		101	
1	14	114.0	1.0	2.0	11450	201	2	27112007	1	2	102		101	
1	14	114.0	1.0	2.0	11451	201	1		0		102		101	
1	14	114.0	1.0	2.0	11452	201	2		1	1	102		101	
1	14	114.0	1.0	2.0	11460	201	2		0		102		101	
1	14	114.0	1.0	2.0	11461	201	2		0		102		101	
1	14	114.0	1.0	2.0	11461	202	1		1	1	102		101	
1	14	114.0	1.0	2.0	11462	201	2		1	1	102		101	
1	14	114.0	1.0	2.0	11463	201	2		1	4	102		101	
1	14	114.0	1.0	2.0	11464	201	1		0		102		101	
1	14	114.0	1.0	2.0	11465	201	1		1	7	102		101	
1	14	114.0	1.0	2.0	11465	202	1		1	7	102		101	
1	14	114.0	1.0	2.0	11466	201	1		1	2	102		101	
1	14	114.0	1.0	2.0	11466	202	2		1	2	102		101	
1	14	114.0	1.0	2.0	11467	201	2	88882006	0		102		101	
1	14	114.0	1.0	2.0	11468	201	1		0		102		101	
1	14	114.0	1.0	2.0	11468	202	1		1	3	102		101	
1	14	114.0	1.0	2.0	11469	201	2	88882002	0		102		101	
1	14	114.0	1.0	2.0	11470	201	2		1	4	102		101	
1	14	114.0	1.0	2.0	11470	202	2		1	6	102		101	
1	15	115.0	1.0	1.0	11550	201	2		0		102		101	
1	15	115.0	1.0	1.0	11550	202	1	18122006	0		102		101	
1	15	115.0	1.0	1.0	11550	203	1		0		102		101	
1	15	115.0	1.0	1.0	11551	201	2	88882007	0		102		101	
1	15	115.0	1.0	1.0	11552	201	2	12122007	0		102		101	
1	15	115.0	1.0	1.0	11552	202	1		0		102		101	
1	15	115.0	1.0	1.0	11553	201	1	26112007	0		102		101	
1	15	115.0	1.0	1.0	11560	201	1		0		102		101	
1	15	115.0	1.0	1.0	11561	201	1		0		102		101	
1	15	115.0	1.0	1.0	11562	201	2		1	2	102		101	
1	15	115.0	1.0	1.0	11562	202	1		1	1	102		101	
1	15	115.0	1.0	1.0	11564	201	2		0		199		199	101
1	15	115.0	1.0	1.0	11565	201	1		1	6	102		101	
1	15	115.0	1.0	1.0	11566	201	2	88882004	0		102		101	
1	15	115.0	1.0	1.0	11566	202	1		1	1	102		101	
1	15	115.0	1.0	1.0	11567	201	2	88882006	0		102		101	
1	15	115.0	1.0	1.0	11567	202	2		1	1	102		101	
1	15	115.0	1.0	1.0	11568	201	1		0		102		101	
1	15	115.0	1.0	1.0	11568	202	1	4122006	0		102		101	
1	15	115.0	1.0	1.0	11569	201	1		0		102		101	
1	16	116.0	1.0	1.0	11650	201	2		0		102		101	
1	16	116.0	1.0	1.0	11650	202	2	88882005	0		102		101	
1	16	116.0	1.0	1.0	11652	201	1		0		102		101	
1	16	116.0	1.0	1.0	11652	202	1		0		102		101	
1	16	116.0	1.0	1.0	11653	201	1	24122008	0		102		101	
1	16	116.0	1.0	1.0	11660	201	1	88882007	0		102		101	
1	16	116.0	1.0	1.0	11661	201	1	88882008	0		102		101	
1	16	116.0	1.0	1.0	11661	202	2		0		102		101	
1	16	116.0	1.0	1.0	11662	201	1		0		102		101	
1	16	116.0	1.0	1.0	11663	201	2	88882006	0		102		101	
1	16	116.0	1.0	1.0	11663	202	1	88882008	1	1	102		101	
1	16	116.0	1.0	1.0	11664	201	2		1	8	102		101	
1	16	116.0	1.0	1.0	11665	201	2		1	2	102		101	
1	16	116.0	1.0	1.0	11666	201	1	21122005	0		102		101	
1	16	116.0	1.0	1.0	11666	202	1	19112008	0		102		101	
1	16	116.0	1.0	1.0	11667	201	1	88882006	1	1	102		101	
1	16	116.0	1.0	1.0	11667	202	2	88882008	0		102		101	
1	16	116.0	1.0	1.0	11668	201	1	88882009	0		101		199	
1	17	117.0	1.0	2.0	11750	201	1		1	4	102		102	
1	17	117.0	1.0	2.0	11750	202	1		0		102		102	
1	17	117.0	1.0	2.0	11751	201	2		0		102		101	
1	17	117.0	1.0	2.0	11751	202	2		1	6	102		101	
1	17	117.0	1.0	2.0	11751	203	2		1	6	102		101	
1	17	117.0	1.0	2.0	11752	201	2	28112006	0		102		101	
1	17	117.0	1.0	2.0	11752	202	2		1	1	102		101	
1	17	117.0	1.0	2.0	11753	201	1		0		102		101	
1	17	117.0	1.0	2.0	11753	202	2		0		102		101	
1	17	117.0	1.0	2.0	11760	201	2	16102006	0		102		101	
1	17	117.0	1.0	2.0	11760	202	1		1	2	102		101	
1	17	117.0	1.0	2.0	11761	201	1		0		102		101	
